track_id,track_popularity,track_album_id,processed_track_name,track_length,track_word_count,track_sentiment,processed_track_artist,artist_length,artist_word_count,artist_sentiment,processed_track_album_name,album_length,album_word_count,album_sentiment,track_album_release_year,track_album_release_month,track_album_release_day
1Mi6uegC4pRxQZw1CB5Fk9,52,3tQd5mwBtVyxCoEo4htGAV,simple intermission,19,2,0.0,wutang clan,11,2,0.0,enter wutang 36 chamber expanded edition,40,6,0.0,1993,11,9
42REV3P6Mnri7QcIunsUF8,34,70UFEmNE2yxnglpRDJ22Av,step back,9,2,0.0,black paisley,13,2,-0.16666666666666666,perennial,9,1,0.0,2018,9,27
4wCD0qOFNRu1Q6O3N6ycm4,70,4aZ3Mf9Tza576UhJ9kjYd7,crush,5,1,0.0,david archuleta,15,2,0.0,david archuleta,15,2,0.0,2008,11,11
1QObH6m6jPyOHBLW2RLEpo,19,17mrdLXkhmlY36jRm9cUbw,color badd,10,2,0.0,color badd,10,2,0.0,cmb,3,1,0.0,1991,7,23
0mTDuNjEAI4v0QWjGlUK3u,43,00DKwMpzeC9SVGOJ7NQrnp,aquaman,7,1,0.0,asfalto rec,11,2,0.0,aquaman,7,1,0.0,2020,1,10
37zQVgP3aTLKNvluXLB5Ii,59,4CzT5ueFBRpbILw34HQYxi,picture rollin,14,2,0.0,2pac,4,1,0.0,eyez,4,1,0.0,1996,2,13
2OLBFXBmMc43M7H0YrHcL5,0,07Fp2Q9KVyA27IrIMpTyXB,alamo original mix,18,3,0.375,bassjackers,11,1,0.0,alamo,5,1,0.0,2015,6,8
2TH65lNHgvLxCKXM3apjxI,90,06S3Qjh4QWLtn6c7CVhYh7,callaita,8,1,0.0,bad bunny,9,2,-0.6999999999999998,callaita,8,1,0.0,2019,5,31
7gmLcEPIL4wDUk8DykPBk6,33,5QsgovsMFrQMbSpjfap2Fa,aian boy,8,2,0.0,chriilz,7,1,0.0,aian boy,8,2,0.0,2019,6,21
4r3MJuJIArZTQfOinh1HFa,2,4Xc3wBfUZ9yiszOrttoCXV,livin,5,1,0.0,ja rule,7,2,0.0,pain love international version,31,4,0.25,2001,10,29
2MYl0er3UZ1RlKwRb5LODh,15,13WjgUEEAQp0d9JqojlWp1,adhd,4,1,0.0,kendrick lamar,14,2,0.0,section80,9,1,0.0,2011,7,2
7iLeu3HnJt7hkxfrqO55V4,4,5JKFiC2WVi9HtvJEm8CUB8,anything go,11,2,0.0,gun n rose,10,3,0.6,appetite destruction,20,2,0.0,1987,1,1
61HmUv8Zuh8IJXMrQej0hO,27,0cO62CmE0QoXp29Jb4Ovqv,diggity,7,1,0.0,blackstreet,11,1,0.0,best blackstreet 20th century master millennium collection,58,7,0.5,2004,1,1
6zl319nC7f5Xnw1tVq0UCK,57,5BBWlhEbuaHSVSBAUXGtI3,hold feat queen naija,21,4,0.0,ddg,3,1,0.0,sorry 4 hold,12,3,-0.5,2019,3,22
60ujaCxju6Qndk01pIQ2Pk,0,2DI4n9885hCIl7DBkz6qRr,miraj original mix,18,3,0.375,sandro silva,12,2,0.0,miraj,5,1,0.0,2014,2,10
38mndEUsA9kxpIAjeVbYfj,24,211cmD9AlnfpVTEjhrokzl,dope man,8,2,0.0,nwa,3,1,0.0,nwa family reunion,18,3,0.0,2008,1,1
7MpYTQdxdkrXv2jgXNViBj,39,1yVlDf8seUNLMMTDdPCwf8,love louder,11,2,0.5,erice,5,1,0.0,love louder,11,2,0.5,2019,6,21
0sXotOhh2L1FmVbr2IKmq9,59,1vMlkXSdfPWDsfCt05KeTl,mitoman,7,1,0.0,malik montana,13,2,0.0,mitoman,7,1,0.0,2019,12,9
6AmMdy27fUk2bDGABGcmfz,36,5cIVzOjETYLiLZkyUlVAiS,lo bailado,10,2,0.0,ximena sarinana,15,2,0.0,lo bailado,10,2,0.0,2019,1,18
57ciWTOKgrXVBxktMJyUB1,68,3VEC69yVh8w9R4Rk8aMliW,pose feat megan thee stallion lil uzi vert,42,8,0.0,yo gotti,8,2,0.0,pose feat megan thee stallion lil uzi vert,42,8,0.0,2019,10,18
0x9HPHvbIAySJlZU00cmNp,43,3r25XjxAmLMOhOWoV6X8N9,crept came,10,2,0.0,bone thugsnharmony,18,2,0.0,e 1999 eternal,14,3,0.0,1995,7,25
5ujxa8Vbpure9NhencrpyA,37,1wXWeF4U9kpTYcBNBa1udG,tres deseos three wish,22,4,0.0,ita cachao,10,2,0.0,abriendo puertas,16,2,0.0,1995,8,3
5Fx2UrcQobzM1h2ihdhsmm,53,51pv0ZowpwnstNG77uLoEV,new rule alison wonderland remix,32,5,0.13636363636363635,dua lipa,8,2,0.0,new rule alison wonderland remix,32,5,0.13636363636363635,2017,8,25
4j4f7WyMV9fkpgFenajDuI,1,2sRdk7s8ObFBEn3ZoPmE5r,going back cali,15,3,0.0,notorious big,13,2,0.0,life death deluxe version,25,4,0.6,1997,3,4
04JmxH2IpgpIeZdbYswRq1,0,4nwm9VAwFZhofaWrT2HYRb,azzlack harami,14,2,0.0,milonair,8,1,0.0,amg,3,1,0.0,2014,3,21
6Kynli1iHBqJRWUCohcV9h,61,22kgtYXKwgjccIu3kxC75m,kaam 25 sacred game,19,4,-0.4,divine,6,1,0.0,kaam 25 sacred game,19,4,-0.4,2018,6,22
1XFHbzTikXks9CsMq4v8Q3,66,3MWQeRDPrBYvDLYIpILm9I,bad feat emie,13,3,-0.6999999999999998,yves v,6,2,0.0,bad feat emie,13,3,-0.6999999999999998,2020,1,3
5avDeYm5YWTj3xj2ysccWu,30,18c2h2tjmiJYSFVe144llF,breakout,8,1,0.0,margaret durante,16,2,0.0,shake break,11,2,0.0,2011,1,1
7m6W3WDAi4LqqdHCirBhAm,35,33OkFedeKGX23PM4qS4WAE,jeopardized original mix,24,3,0.375,sabb,4,1,0.0,jeopardized original mix,24,3,0.375,2018,3,9
3qercJ2Z0S5wz6p3rjrQog,1,0oiFO2hFuddBEHJirtTDTb,dharma,6,1,0.0,headhunterz,11,1,0.0,dharma,6,1,0.0,2016,6,27
0M9mH33xccGM4ITZIGwX2H,42,7pXS1210AXPkd4722GxNYu,need somebody talk,18,3,0.0,sexton,6,1,0.0,lost heart hollywood chapter 3,30,5,0.0,2019,12,20
6gBezoyVnuoGr1rkGHRX95,0,0B5qcbdDJHEKvAJGo1mtMW,brigada epilogue,16,2,0.0,alexey shelygin,15,2,0.0,brigada soundtrack tv series,28,4,0.0,2003,11,17
4suDPyEfKYtqDR2OGblbTi,48,0q7bDr9lPLduHdECJOYZ8B,943 run away japanese ver,25,5,0.0,tomorrow x together,19,3,0.0,magic hour,10,2,0.5,2020,1,14
5WzGODvJyAvXhMlWLtjuAZ,47,6M7CUkeMmuzC6YwCZoUrwj,starchild,9,1,0.0,ummet ozcan,11,2,0.0,starchild,9,1,0.0,2018,12,14
4A1IGpeMdt8sUdTPfNzYcd,26,5ePsyNYPL613mI8nqs7kwS,brightest light radio edit,26,4,0.4,fdvm,4,1,0.0,brightest light radio edit,26,4,0.4,2015,11,27
07zL0LP8Xt2CCM8MXA5PJh,61,7bXLqJPHUJ9EvL4u7bzjiV,lil mama,8,2,0.0,mile wesley,11,2,0.0,lil mama,8,2,0.0,2019,7,26
7zs5zHtydDQ4RTEylVtXRp,52,2pIaez1xS9Ibhy5FPhKfGo,gold,4,1,0.0,sam feldt,9,2,0.0,gold,4,1,0.0,2019,1,18
